"Hp 2023-10-10_12h35m00s",,,,,
"Relative Front","Adj. Volume (Int)","Rel. Quant.","Relative Front","Adj. Volume (Int)","Rel. Quant."
"0,386364","2181843","N/A","0,318182","8783910","N/A"
"0,508475","10663920","N/A","0,559322","11898062","N/A"
